Date              Hs   Tp   Tm2   LP MDir PDir TpS PDS lpS   TpW PDW lpW   Usp Udir IQ NSPEC INDEX HMax Tlim  IQU  ELEVL   CFG-date
20220106150725  0.39  3.10  4.35  15  64 174 -9.00  -9  -9 -9.00  -9  -9  1.43 201.34  600   0  998  0.56  10.0  400  0000 06-17-2021 08.07.42 
20220106151130 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106151405 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106151640  0.38  3.24  4.22  16  52 184 -9.00  -9  -9 -9.00  -9  -9  2.40 232.51  600   0  998  0.55  10.0  400  0000 06-17-2021 08.07.42 
20220106152023 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106152258  0.35  3.26  4.18  17   5 254 -9.00  -9  -9 -9.00  -9  -9  2.24 229.21  600   0  998  0.50  10.0  400  0000 06-17-2021 08.07.42 
20220106152534  0.54 12.60  4.83 143  18  33 -9.00  -9  -9 -9.00  -9  -9  1.81 204.08  600   0  998  0.78  10.0  400  0000 06-17-2021 08.07.42 
20220106152922  0.38  2.97  4.27  14  31  43 -9.00  -9  -9 -9.00  -9  -9  1.92 203.82  600   0  998  0.55  10.0  400  0000 06-17-2021 08.07.42 
20220106153157  0.33  3.08  4.20  15  77 190 -9.00  -9  -9 -9.00  -9  -9  2.17 229.32  600   0  998  0.48  10.0  401  0000 06-17-2021 08.07.42 
20220106153432  0.37  3.30  4.25  17  29  26 -9.00  -9  -9 -9.00  -9  -9  1.24 203.41  600   0  998  0.54  10.0  400  0000 06-17-2021 08.07.42 
20220106153812  0.40  3.36  4.16  18  34 282 -9.00  -9  -9 -9.00  -9  -9  2.26 251.80  600   0  998  0.58  10.0  400  0000 06-17-2021 08.07.42 
20220106154048  0.38  3.89  4.24  24 213 181 -9.00  -9  -9 -9.00  -9  -9  2.19  29.31  600   0  998  0.55  10.0  401  0000 06-17-2021 08.07.42 
20220106154323  0.57 11.84  5.13 133 145  67 -9.00  -9  -9 -9.00  -9  -9  1.42   6.90  400   0  998  0.82  10.0  400  0000 06-17-2021 08.07.42 
20220106154705 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106154940  0.34  3.02  4.22  14 206 202 -9.00  -9  -9 -9.00  -9  -9  2.12  42.26  600   0  998  0.49  10.0  400  0000 06-17-2021 08.07.42 
20220106155215 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106155558  0.35  3.65  4.20  21  52  51 -9.00  -9  -9 -9.00  -9  -9  2.26 230.86  600   0  998  0.51  10.0  400  0000 06-17-2021 08.07.42 
20220106155833 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106160108  0.37  3.94  4.19  24  25 348 -9.00  -9  -9 -9.00  -9  -9  2.08 200.61  600   0  998  0.54  10.0  400  0000 06-17-2021 08.07.42 
20220106160449  0.37  3.86  4.33  23 203 212 -9.00  -9  -9 -9.00  -9  -9  1.72  37.98  600   0  998  0.53  10.0  400  0000 06-17-2021 08.07.42 
20220106160724  0.43  4.35  4.29  29 207 208 -9.00  -9  -9 -9.00  -9  -9  1.96  24.85  600   0  998  0.62  10.0  401  0000 06-17-2021 08.07.42 
20220106160959 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106161344 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106161619 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106161855 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106162243  0.42  4.45  4.35  31 208 203 -9.00  -9  -9 -9.00  -9  -9  1.66  21.80  600   0  998  0.60  10.0  400  0000 06-17-2021 08.07.42 
20220106162518  0.35  3.24  4.23  16 181  53 -9.00  -9  -9 -9.00  -9  -9  1.68  28.72  600   0  998  0.51  10.0  400  0000 06-17-2021 08.07.42 
20220106162754 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106163238  0.43  3.32  4.13  17 254 235 -9.00  -9  -9 -9.00  -9  -9  2.73 242.81  400   0  998  0.62  10.0  400  0000 06-17-2021 08.07.42 
20220106163513 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106164036 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106164311  0.36  3.39  4.21  18  66 100 -9.00  -9  -9 -9.00  -9  -9  0.00  20.29  600   0  998  0.51  10.0  400  0000 06-17-2021 08.07.42 
20220106164547  0.45  3.07  4.49  15  82 307 -9.00  -9  -9 -9.00  -9  -9  0.01 195.28  600   0  998  0.64  10.0  400  0000 06-17-2021 08.07.42 
20220106164933 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106165208 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106165444 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106165830  0.50 13.05  4.45 149  65  84  4.25 222  28  3.00 222  14  1.24 174.32  000   0  998  0.73   3.3  001  0000 06-17-2021 08.07.42 
20220106170106  0.46 13.07  4.37 149  49  30 -9.00  -9  -9 -9.00  -9  -9  0.00 174.08  600   0  998  0.66  10.0  400  0000 06-17-2021 08.07.42 
20220106170342 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106170728  0.44 13.54  4.49 155 209 173 -9.00  -9  -9 -9.00  -9  -9  1.90  26.53  600   0  998  0.64  10.0  400  0000 06-17-2021 08.07.42 
20220106171003  0.42  2.98  4.26  14 153  14 -9.00  -9  -9 -9.00  -9  -9  1.90  11.79  600   0  998  0.60  10.0  400  0000 06-17-2021 08.07.42 
20220106171239 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106171631 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106171907  0.37  2.99  4.37  14   5  21 -9.00  -9  -9 -9.00  -9  -9  2.03 196.32  600   0  998  0.53  10.0  400  0000 06-17-2021 08.07.42 
20220106172143 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106172529 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106172805  0.43 13.07  4.47 149   3 305 -9.00  -9  -9 -9.00  -9  -9  1.24 216.53  400   0  998  0.62  10.0  400  0000 06-17-2021 08.07.42 
20220106173041 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106173423 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106173700  0.42  3.46  4.30  19  34   5 -9.00  -9  -9 -9.00  -9  -9  1.69 164.88  600   0  998  0.61  10.0  400  0000 06-17-2021 08.07.42 
20220106173936  0.37  3.00  4.25  14 207 190 -9.00  -9  -9 -9.00  -9  -9  1.73  18.69  600   0  998  0.53  10.0  400  0000 06-17-2021 08.07.42 
20220106174330  0.51  3.24  4.46  16  65 176  3.05  42  15  2.95 222  14  1.54  28.43  200   0  998  0.74   3.2  000  0000 06-17-2021 08.07.42 
20220106174606  0.40  4.01  4.26  25   1 352 -9.00  -9  -9 -9.00  -9  -9  1.33 194.86  600   0  998  0.58  10.0  401  0000 06-17-2021 08.07.42 
20220106174842  0.50 12.64  4.44 144   8  19 -9.00  -9  -9 -9.00  -9  -9  1.66 194.97  400   0  998  0.72  10.0  400  0000 06-17-2021 08.07.42 
20220106175224  0.45  3.30  4.33  17  75  77 -9.00  -9  -9 -9.00  -9  -9  0.07 111.38  600   0  998  0.65  10.0  400  0000 06-17-2021 08.07.42 
20220106175459  0.44  3.23  4.26  16  78 229  3.27 218  17  3.15  38  16  1.42  10.64  200   0  998  0.63   3.5  000  0000 06-17-2021 08.07.42 
20220106175735 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106180122  0.47  3.21  4.24  16 135  86 -9.00  -9  -9 -9.00  -9  -9  0.07   4.32  600   0  998  0.68  10.0  400  0000 06-17-2021 08.07.42 
20220106180358  0.41 13.08  4.39 149  24  19 -9.00  -9  -9 -9.00  -9  -9  1.74 203.10  600   0  998  0.59  10.0  400  0000 06-17-2021 08.07.42 
20220106180635  0.44  3.18  4.32  16  59 196 -9.00  -9  -9 -9.00  -9  -9  1.17 204.39  600   0  998  0.63  10.0  400  0000 06-17-2021 08.07.42 
20220106181022  0.59 13.08  4.54 149 197 125  3.98 222  25  3.45  42  19  1.83  25.45  200   0  998  0.84   3.5  000  0000 06-17-2021 08.07.42 
20220106181258 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  999   0  998 -9.00  10.0  999  2005 06-17-2021 08.07.42 
20220106181535  0.39  3.52  4.29  19 168 187 -9.00  -9  -9 -9.00  -9  -9  0.02 241.04  600   0  998  0.56  10.0  400  0000 06-17-2021 08.07.42 
20220106181922  0.38  3.66  4.19  21  43  36 -9.00  -9  -9 -9.00  -9  -9  1.80 206.28  600   0  998  0.54  10.0  400  0000 06-17-2021 08.07.42 
20220106182158  0.41  3.42  4.41  18  23  25 -9.00  -9  -9 -9.00  -9  -9  2.10 203.99  600   0  998  0.59  10.0  400  0000 06-17-2021 08.07.42 
20220106182435  0.39  3.58  4.34  20 212 204 -9.00  -9  -9 -9.00  -9  -9  1.70  19.11  600   0  998  0.56  10.0  400  0000 06-17-2021 08.07.42 
20220106182827  0.42  3.85  4.28  23 210 203 -9.00  -9  -9 -9.00  -9  -9  1.82  23.34  600   0  998  0.61  10.0  400  0000 06-17-2021 08.07.42 
20220106183103  0.51  3.39  4.28  18 226 223 -9.00  -9  -9 -9.00  -9  -9  1.54  19.52  600   0  998  0.73  10.0  400  0000 06-17-2021 08.07.42 
20220106183339  0.47  3.27  4.33  17  23 175  3.73 218  22  3.73  38  22  1.43 204.77  200   0  998  0.68   4.1  000  0000 06-17-2021 08.07.42 
20220106183719  0.44  3.15  4.30  16 221 171 -9.00  -9  -9 -9.00  -9  -9  1.28  16.15  600   0  998  0.63  10.0  400  0000 06-17-2021 08.07.42 
20220106183955  0.44  3.52  4.28  19 219 202  3.52  42  19  3.52 222  19  1.70  21.38  200   0  998  0.64   3.9  000  0000 06-17-2021 08.07.42 
