Date              Hs   Tp   Tm2   LP MDir PDir TpS PDS lpS   TpW PDW lpW   Usp Udir IQ NSPEC INDEX HMax Tlim  IQU  ELEVL   CFG-date
20220106150725 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  000   0  998 -9.00  10.0  000  3003 06-17-2021 08.07.42 
20220106151130 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  000   0  998 -9.00  10.0  000  3003 06-17-2021 08.07.42 
20220106151405 -9.00 -9.00 -9.00  -9  -9  -9 -9.00  -9  -9 -9.00  -9  -9 -9.00  -9.00  000   0  998 -9.00  10.0  000  3003 06-17-2021 08.07.42 
20220106151640  0.38 13.51  4.28 155  62  30 -9.00  -9  -9 -9.00  -9  -9  1.85 220.95  600   2  998  0.55  10.0  440  0000 06-17-2021 08.07.42 
20220106152023  0.38 13.51  4.28 155  59  30 -9.00  -9  -9 -9.00  -9  -9  1.85 220.95  600   2  998  0.55  10.0  440  0000 06-17-2021 08.07.42 
20220106152258  0.37  3.24  4.24  16  34 163 -9.00  -9  -9 -9.00  -9  -9  1.97 224.07  600   3  998  0.54  10.0  440  0000 06-17-2021 08.07.42 
20220106152534  0.42 12.67  4.49 144  28  13 -9.00  -9  -9 -9.00  -9  -9  1.91 219.43  600   4  998  0.60  10.0  440  0000 06-17-2021 08.07.42 
20220106152922  0.41 12.65  4.52 144  17  13 -9.00  -9  -9 -9.00  -9  -9  2.03 218.92  600   4  998  0.59  10.0  404  0000 06-17-2021 08.07.42 
20220106153157  0.40 12.65  4.46 144  18  16 -9.00  -9  -9 -9.00  -9  -9  2.06 221.10  600   5  998  0.57  10.0  441  0000 06-17-2021 08.07.42 
20220106153432  0.39 12.66  4.43 144  20  14 -9.00  -9  -9 -9.00  -9  -9  1.91 219.21  600   6  998  0.56  10.0  441  0000 06-17-2021 08.07.42 
20220106153812  0.40 12.66  4.42 144  28  16 -9.00  -9  -9 -9.00  -9  -9  1.84 222.68  600   6  998  0.57  10.0  441  0000 06-17-2021 08.07.42 
20220106154048  0.39 12.67  4.38 144  27  14 -9.00  -9  -9 -9.00  -9  -9  1.28 225.92  600   7  998  0.57  10.0  441  0000 06-17-2021 08.07.42 
20220106154323  0.42 12.62  4.64 143  68  45 -9.00  -9  -9 -9.00  -9  -9  0.81 233.69  600   7  998  0.61  10.0  441  0000 06-17-2021 08.07.42 
20220106154705  0.41 12.62  4.52 143 102  77 -9.00  -9  -9 -9.00  -9  -9  0.70 246.05  600   6  998  0.58  10.0  441  0000 06-17-2021 08.07.42 
20220106154940  0.40 12.62  4.52 143 145 110 -9.00  -9  -9 -9.00  -9  -9  0.38 315.03  600   6  998  0.57  10.0  441  0000 06-17-2021 08.07.42 
20220106155215  0.41 12.61  4.57 143 158 120 -9.00  -9  -9 -9.00  -9  -9  0.61   0.44  600   5  998  0.59  10.0  441  0000 06-17-2021 08.07.42 
20220106155558  0.41 12.61  4.58 143 167  69 -9.00  -9  -9 -9.00  -9  -9  0.60 335.72  600   5  998  0.59  10.0  441  0000 06-17-2021 08.07.42 
20220106155833  0.41 12.61  4.69 143 171  72 -9.00  -9  -9 -9.00  -9  -9  0.89  14.76  600   4  998  0.59  10.0  441  0000 06-17-2021 08.07.42 
20220106160108  0.41 12.61  4.69 143 145  62 -9.00  -9  -9 -9.00  -9  -9  0.24 245.90  600   4  998  0.59  10.0  440  0000 06-17-2021 08.07.42 
20220106160449  0.36  3.02  4.23  14 199 137 -9.00  -9  -9 -9.00  -9  -9  0.11 180.63  600   4  998  0.51  10.0  440  0000 06-17-2021 08.07.42 
20220106160724  0.37  3.12  4.25  15 213 200 -9.00  -9  -9 -9.00  -9  -9  0.31  31.69  600   5  998  0.54  10.0  441  0000 06-17-2021 08.07.42 
